,L,lambda,sd,NRMSE,median,R1
153,2.0,2.0,0.0,1.0218058876315657,-3.7547843857823785e-06,1.0
154,2.0,2.0,0.05,0.9726324394382184,-0.908638634339751,0.9996937732534584
155,2.0,2.0,0.08,0.9741808609387982,-0.32357290636802083,0.9991931541269944
156,2.0,2.0,0.12,0.9740514926966584,-0.2462684607190841,0.9980991013874854
157,2.0,2.0,0.18,0.968488734658586,-0.3532387369839254,0.995769158551747
158,2.0,2.0,0.28,0.9331270834448087,-0.7274328255914548,0.988963668035756
159,2.0,2.0,0.42,0.931949571561682,0.04239845529008768,0.975726115962612
160,2.0,2.0,0.65,0.9371182480035709,-0.10421957756080424,0.9372468154274355
161,2.0,2.0,1.0,6.295234073790528,0.0011238399310440714,0.7205687198595375
162,2.0,3.0,0.0,1.0218091581048667,-2.521539816140932e-06,0.9999999999999999
163,2.0,3.0,0.05,0.956010549414507,-1.3852180821589535,0.99986398179432
164,2.0,3.0,0.08,0.9590220597747106,-0.47320642324867795,0.999642002955595
165,2.0,3.0,0.12,0.9594085359954386,-0.298662764691187,0.9991582161308868
166,2.0,3.0,0.18,0.9584154679216342,-0.23973427194644456,0.9981349143373757
167,2.0,3.0,0.28,0.9270800939455784,-0.8464987056745539,0.9952082501096374
168,2.0,3.0,0.42,0.896996661572754,-0.22232781203273133,0.9897445335401766
169,2.0,3.0,0.65,0.882486887332907,0.11725403094199335,0.9769417087344326
170,2.0,3.0,1.0,0.8763378243236131,0.020648767955107866,0.9291465485634768
171,2.0,4.0,0.0,1.0218091945020364,-1.8912940578842295e-06,0.9999999999999999
172,2.0,4.0,0.05,0.938738182449779,-1.7297601046124242,0.9999235073242906
173,2.0,4.0,0.08,0.9424949839246701,-0.638956485289509,0.9997987461885
174,2.0,4.0,0.12,0.9432421042971769,-0.3453811410103165,0.9995271067619309
175,2.0,4.0,0.18,0.9430380895703512,-0.18103043417649944,0.9989538154487901
176,2.0,4.0,0.28,0.9289388087351944,-0.6516158661116701,0.9973257783497834
177,2.0,4.0,0.42,0.87172696486147,-0.5871711505540073,0.994324935058942
178,2.0,4.0,0.65,0.8653794032102229,-0.13846408192382087,0.9875157169968624
