,delay,k_scale,sd,NRMSE,median,R1
124,2.0,0.4,0.2236,0.83961188423104,0.006199833537958943,0.9999392790417582
125,2.0,0.4,0.3684,0.8393714803626949,0.06372686534560756,0.9998614847379463
126,2.0,0.4,0.607,0.8393865746313719,-0.024219374933173967,0.9995416624778106
127,2.0,0.4,1.0,0.839160456345535,0.05783372787347518,0.9987655165033374
128,2.0,0.5,0.0,0.8347580505866498,0.21541470242325206,0.9999999905678404
129,2.0,0.5,0.05,0.8358150715181103,0.05010938571179759,0.9999980046412028
130,2.0,0.5,0.0824,0.8380567737708351,0.11485008399439078,0.9999956576176772
131,2.0,0.5,0.1357,0.8354743580431796,0.012090049368981448,0.9999848742755005
132,2.0,0.5,0.2236,0.8364564842124741,0.059486654414296736,0.9999595471757265
133,2.0,0.5,0.3684,0.8379849202079853,-0.017282362493020204,0.9999116860772063
134,2.0,0.5,0.607,0.8379999232396503,-0.10700550869136785,0.9997068367897091
135,2.0,0.5,1.0,0.8360164632417493,-0.24956277553646825,0.9991744842453975
136,2.0,0.6,0.0,0.8234534265211416,-0.3088995763759782,0.9999999911308982
137,2.0,0.6,0.05,0.8217582201370467,-0.4668818994954494,0.9999985892737043
138,2.0,0.6,0.0824,0.8270178122080671,-0.0959689794676799,0.9999969497966578
139,2.0,0.6,0.1357,0.8270425671721233,0.005191432333350732,0.999989064085897
140,2.0,0.6,0.2236,0.8287076251382712,0.10136886727718236,0.9999725106462762
141,2.0,0.6,0.3684,0.826505449177554,0.31896941705295184,0.9999377943518419
142,2.0,0.6,0.607,0.8246507165476586,-3.906106623738359e-05,0.9997973883119916
143,2.0,0.6,1.0,0.8239758035307821,0.3422544000275878,0.999444804537454
144,2.0,0.7,0.0,0.7974124691759893,-0.2998602131367537,0.9999999921058821
145,2.0,0.7,0.05,0.8010252509616338,-0.1967753843061901,0.9999989683974856
146,2.0,0.7,0.0824,0.8065135000304823,-0.06105549065381083,0.9999978255725533
147,2.0,0.7,0.1357,0.8087796529580875,0.3697601094251899,0.9999921217537785
148,2.0,0.7,0.2236,0.7952239240120164,-0.005945415104565324,0.9999801590956975
149,2.0,0.7,0.3684,0.7993704878135712,-0.00454762418445484,0.9999535069524471
150,2.0,0.7,0.607,0.7980488399463085,-0.09663170325166681,0.9998513480330167
151,2.0,0.7,1.0,0.7914389466067594,-0.20027867908311453,0.9995715017571797
152,2.0,0.8,0.0,0.7794779499675951,-0.29279322688451503,0.9999999908106697
153,2.0,0.8,0.05,0.7706193127845993,0.11398383892922877,0.9999991935468172
154,2.0,0.8,0.0824,0.7655379898589223,-0.39425414808057335,0.999998310210003
155,2.0,0.8,0.1357,0.7742836390514303,0.48152449988922624,0.9999941962154889
156,2.0,0.8,0.2236,0.7689311475282767,0.28761602515721274,0.9999845123047466
157,2.0,0.8,0.3684,0.780538142733731,0.5622501044071667,0.9999639664025408
158,2.0,0.8,0.607,0.7623850244681006,-0.2776851337770728,0.9998826370863678
159,2.0,0.8,1.0,0.769075638375646,0.10001936525065074,0.9996805077358096
160,2.0,0.9,0.0,0.7367023972376292,-0.770202170871172,0.9999999915935126
161,2.0,0.9,0.05,0.7324582933314896,-0.4751003524513657,0.9999993832596976
162,2.0,0.9,0.0824,0.7304123841472361,-0.2538282392388482,0.9999986440171307
163,2.0,0.9,0.1357,0.7310803958642388,-0.26259344098717563,0.9999950782615161
164,2.0,0.9,0.2236,0.7300048334536131,0.41604613822872993,0.999987819238622
165,2.0,0.9,0.3684,0.7317542605602215,-0.26885046749786035,0.9999726841356367
166,2.0,0.9,0.607,0.7393085757046439,0.0218913775980148,0.9999126560363678
167,2.0,0.9,1.0,0.7362891508387225,-0.33408828851991795,0.9997464701243294
168,2.0,1.0,0.0,0.6879166832902479,-0.8406114617196152,0.9999999911620986
169,2.0,1.0,0.05,0.6631751084917029,-0.32294028348816123,0.9999994792999959
170,2.0,1.0,0.0824,0.6534398431993877,0.23429017296797977,0.9999989219574541
171,2.0,1.0,0.1357,0.6456341050674134,0.4742876085104111,0.9999961783925152
172,2.0,1.0,0.2236,0.706807070946635,-0.5125469159228602,0.9999903080058139
173,2.0,1.0,0.3684,0.6852191930919823,-0.5385056835401758,0.999978069308592
174,2.0,1.0,0.607,0.6857428956763465,-0.24528431813927354,0.9999261485686777
175,2.0,1.0,1.0,0.7037133466574933,-0.3950748837668508,0.9998044942202992
